Coll,Int,Wea,CRASH_NUM1,TrWay,PSL,Align,TCD,CF
Angle,Four-Way Intersection,Clear,2018_122059,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Cloudy,2018_122062,Two-Way Undivided,45 MPH,Straight,No Controls,Accelerating/Decelerating
Angle,T-Intersection,Clear,2018_122066,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Clear,2018_122066,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122068,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Rain,2018_122072,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122074,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122074,Two-Way Undivided,40 MPH,Straight,No Controls,Accelerating/Decelerating
Angle,Four-Way Intersection,Clear,2018_122077,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122082,One-Way Trafficway,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122082,One-Way Trafficway,35 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Cloudy,2018_122102,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122105,Two-Way Undivided,30 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Cloudy,2018_122109,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Cloudy,2018_122110,Two-Way Undivided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
Angle,T-Intersection,Cloudy,2018_122117,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2018_122118,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Four-Way Intersection,Clear,2018_122118,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122121,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2018_122124,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2018_122124,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2018_122141,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2018_122141,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Clear,2018_122143,Two-Way Divided,35 MPH,Straight,No Controls,Making a U-turn
Angle,Not an Intersection,Clear,2018_122143,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122151,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2018_122156,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122164,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,Not an Intersection,Clear,2018_122166,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122170,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2018_122205,Two-Way Divided,45 MPH,Straight,No Controls,Turning
Sideswipe,Four-Way Intersection,Clear,2018_122224,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122236,Two-Way Divided,40 MPH,Straight,No Controls,Others
Front-to-Rear,Not an Intersection,Clear,2018_122239,Two-Way Undivided,40 MPH,Straight,No Controls,Others
Angle,Four-Way Intersection,Cloudy,2018_122240,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Cloudy,2018_122240,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122241,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122241,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122245,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122245,Two-Way Divided,30 MPH,Straight,Traffic control signal,Others
Angle,Not an Intersection,Cloudy,2018_122256,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
Angle,Not an Intersection,Rain,2018_122275,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Rain,2018_122275,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Rain,2018_122275,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Rain,2018_122275,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122284,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Not an Intersection,Cloudy,2018_122286,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122311,Two-Way Divided,40 MPH,Straight,No Controls,Changing Lanes/Overtaking
Angle,T-Intersection,Clear,2018_122311,Two-Way Undivided,15 MPH,Straight,Traffic control signal,Others
Angle,T-Intersection,Clear,2018_122313,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2018_122313,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2018_122313,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
Front-to-Front,Four-Way Intersection,Clear,2018_122316,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2018_122321,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2018_122327,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122328,Two-Way Undivided,30 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Not an Intersection,Clear,2018_122335,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122335,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Rain,2018_122338,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Rain,2018_122340,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2018_122346,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122346,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122350,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122350,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122350,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122354,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122362,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122369,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122377,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122392,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2018_122395,Two-Way Undivided,25 MPH,Curve,Stop Sign,Others
Angle,Four-Way Intersection,Clear,2018_122407,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2018_122409,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122413,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2018_122419,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122428,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2018_122430,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Four-Way Intersection,Rain,2018_122431,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Clear,2018_122435,Two-Way Divided,25 MPH,Straight,Stop Sign,Turning
Front-to-Front,Not an Intersection,Clear,2018_122439,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2018_122439,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2018_122443,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122443,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2018_122447,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122447,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Rain,2018_122453,Two-Way Undivided,15 MPH,Straight,Stop Sign,Turning
Front-to-Rear,Not an Intersection,Clear,2018_122456,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Clear,2018_122456,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122466,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2018_122477,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2018_122477,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122484,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122486,Two-Way Undivided,40 MPH,Straight,Stop Sign,Turning
Angle,T-Intersection,Clear,2018_122490,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122494,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Rear,Not an Intersection,Clear,2018_122504,Two-Way Divided,45 MPH,Straight,No Controls,Others
Angle,Four-Way Intersection,Clear,2018_122513,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2018_122523,Two-Way Divided,45 MPH,Straight,No Controls,Others
Sideswipe,Not an Intersection,Clear,2018_122523,Two-Way Divided,45 MPH,Straight,No Controls,Others
Front-to-Front,Not an Intersection,Clear,2018_122535,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122543,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Clear,2018_122546,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2018_122556,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122558,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122564,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Four-Way Intersection,Clear,2018_122567,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2018_122568,Two-Way Divided,45 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122575,Two-Way Divided,45 MPH,Straight,Stop Sign,Going Straight
Sideswipe,Four-Way Intersection,Clear,2018_122577,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Sideswipe,Four-Way Intersection,Clear,2018_122577,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Sideswipe,Four-Way Intersection,Clear,2018_122577,Two-Way Divided,45 MPH,Straight,No Controls,Others
Angle,Four-Way Intersection,Clear,2018_122589,Two-Way Undivided,15 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122605,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122605,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122607,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122610,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,T-Intersection,Clear,2018_122621,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122637,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2018_122653,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122664,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Angle,T-Intersection,Clear,2018_122670,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
Front-to-Front,Not an Intersection,Clear,2018_122671,Two-Way Undivided,45 MPH,Straight,No Controls,Unknown
Front-to-Front,Four-Way Intersection,Clear,2018_122676,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Four-Way Intersection,Clear,2018_122676,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2018_122696,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122698,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122699,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122701,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122701,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122701,Two-Way Divided,30 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2018_122703,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Clear,2018_122722,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2018_122738,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Sideswipe,Not an Intersection,Clear,2018_122745,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Clear,2018_122745,Two-Way Divided,45 MPH,Straight,No Controls,Unknown
Angle,T-Intersection,Clear,2018_122747,Two-Way Undivided,30 MPH,Straight,Stop Sign,Turning
Angle,T-Intersection,Clear,2018_122754,Two-Way Undivided,15 MPH,Straight,Stop Sign,Turning
Front-to-Front,T-Intersection,Clear,2018_122755,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,T-Intersection,Clear,2018_122755,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122757,One-Way Trafficway,40 MPH,Straight,Traffic control signal,Going Straight
Rear-to-Side,T-Intersection,Clear,2018_122762,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
Front-to-Front,Four-Way Intersection,Cloudy,2018_122772,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
Front-to-Front,Four-Way Intersection,Cloudy,2018_122772,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Clear,2018_122777,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Clear,2018_122780,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Front-to-Rear,T-Intersection,Clear,2018_122784,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
Front-to-Front,Four-Way Intersection,Clear,2018_122804,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122809,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122813,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122813,Two-Way Divided,45 MPH,Straight,No Controls,Turning
Front-to-Front,T-Intersection,Clear,2018_122822,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,T-Intersection,Clear,2018_122822,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2018_122825,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122826,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
Front-to-Front,Not an Intersection,Rain,2018_122830,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2018_122839,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122841,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Cloudy,2018_122841,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122842,Two-Way Divided,45 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122842,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122850,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
Angle,T-Intersection,Clear,2018_122853,One-Way Trafficway,25 MPH,Straight,Stop Sign,Going Straight
Angle,Not an Intersection,Clear,2018_122865,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Turning
Front-to-Front,T-Intersection,Clear,2018_122879,Two-Way Undivided,30 MPH,Curve,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122880,Two-Way Divided,35 MPH,Curve,Traffic control signal,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2018_122880,Two-Way Undivided,No Statutory Limit,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122897,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2018_122904,Two-Way Undivided,30 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Cloudy,2018_122907,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_122907,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122908,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_122908,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Cloudy,2018_122911,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Not an Intersection,Cloudy,2018_122911,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Clear,2018_122924,Two-Way Divided,45 MPH,Straight,No Controls,Unknown
Sideswipe,Not an Intersection,Clear,2018_122924,Two-Way Divided,45 MPH,Straight,No Controls,Unknown
Front-to-Front,Not an Intersection,Rain,2018_122929,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_122931,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_122931,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,T-Intersection,Cloudy,2018_122958,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,T-Intersection,Clear,2018_122963,Two-Way Undivided,45 MPH,Curve,No Controls,Changing Lanes/Overtaking
Front-to-Rear,Four-Way Intersection,Cloudy,2018_122968,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Cloudy,2018_122969,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Front-to-Rear,Not an Intersection,Clear,2018_122972,Two-Way Divided,45 MPH,Straight,No Controls,Others
Front-to-Rear,Not an Intersection,Clear,2018_122972,Two-Way Divided,45 MPH,Straight,No Controls,Others
Angle,Four-Way Intersection,Clear,2018_122973,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Clear,2018_122988,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_122990,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Y-Intersection,Clear,2018_122991,One-Way Trafficway,25 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Rain,2018_123004,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2018_123022,Two-Way Undivided,15 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_123022,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2018_123023,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2018_123023,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2018_123023,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Front-to-Rear,Four-Way Intersection,Clear,2018_123023,Two-Way Divided,45 MPH,Straight,Traffic control signal,Others
Angle,Four-Way Intersection,Rain,2018_123037,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_123039,Two-Way Undivided,30 MPH,Straight,Stop Sign,Going Straight
Angle,Four-Way Intersection,Clear,2018_123039,One-Way Trafficway,30 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2018_123047,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2018_123047,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_123056,Two-Way Divided,30 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_123056,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2018_123057,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_123060,Two-Way Divided,45 MPH,Straight,No Controls,Turning
Front-to-Front,Not an Intersection,Clear,2018_123064,Two-Way Divided,35 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,Not an Intersection,Clear,2018_123064,Two-Way Divided,35 MPH,Curve,No Controls,Negotiating a Curve
Angle,T-Intersection,Clear,2018_123068,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_123069,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2018_123071,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Front-to-Rear,Four-Way Intersection,Clear,2018_123072,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_123073,Two-Way Undivided,30 MPH,Straight,Stop Sign,Turning
Angle,Four-Way Intersection,Clear,2018_123073,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Front-to-Rear,T-Intersection,Clear,2018_123076,Two-Way Undivided,25 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_123078,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_123085,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Clear,2018_123090,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Front-to-Rear,Not an Intersection,Cloudy,2018_123092,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_123098,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_123110,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
Angle,Four-Way Intersection,Clear,2018_123110,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
Front-to-Front,T-Intersection,Clear,2018_123116,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_123120,Two-Way Divided,40 MPH,Straight,No Controls,Turning
Sideswipe,Not an Intersection,Clear,2018_123125,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2018_130001,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2018_130005,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2018_130009,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
Angle,Not an Intersection,Clear,2018_130015,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2018_130016,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Clear,2018_130016,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Sideswipe,Not an Intersection,Clear,2018_130025,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_130061,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,Four-Way Intersection,Clear,2018_130061,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Clear,2018_130064,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
Sideswipe,Not an Intersection,Clear,2018_130065,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Cloudy,2018_130073,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Angle,Not an Intersection,Clear,2018_130076,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Unknown
Front-to-Rear,Y-Intersection,Clear,2018_130082,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
Angle,Four-Way Intersection,Cloudy,2018_130095,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
Angle,Four-Way Intersection,Cloudy,2018_130095,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
Angle,Not an Intersection,Clear,2018_130103,Two-Way Undivided,45 MPH,Curve,Unknown,Turning
Angle,Not an Intersection,Clear,2018_130103,Two-Way Undivided,45 MPH,Curve,Unknown,Negotiating a Curve
Angle,Four-Way Intersection,Clear,2018_130109,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
Angle,Not an Intersection,Cloudy,2018_130122,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
Front-to-Front,Not an Intersection,Rain,2018_130129,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
Front-to-Front,T-Intersection,Rain,2018_130132,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
Angle,T-Intersection,Cloudy,2018_130135,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
Angle,T-Intersection,Cloudy,2018_130135,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
